race_id,year,event,session,chronology_rank,chronology_basis,chronology_epoch_utc,split,anchor_status,prior_project_influence,holdout_excluded_before_fetch
2018:Abu Dhabi Grand Prix:Race,2018,Abu Dhabi Grand Prix,Race,14,minimum laptimes.lSD lap-start UTC observed for race,2018-11-25T13:13:34.535000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Australian Grand Prix:Race,2019,Australian Grand Prix,Race,15,minimum laptimes.lSD lap-start UTC observed for race,2019-03-17T05:13:33.030000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Bahrain Grand Prix:Race,2019,Bahrain Grand Prix,Race,16,minimum laptimes.lSD lap-start UTC observed for race,2019-03-31T15:13:31.471000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Chinese Grand Prix:Race,2019,Chinese Grand Prix,Race,17,minimum laptimes.lSD lap-start UTC observed for race,2019-04-14T06:13:29.012000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Azerbaijan Grand Prix:Race,2019,Azerbaijan Grand Prix,Race,18,minimum laptimes.lSD lap-start UTC observed for race,2019-04-28T12:13:37.658000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Canadian Grand Prix:Race,2019,Canadian Grand Prix,Race,19,minimum laptimes.lSD lap-start UTC observed for race,2019-06-09T18:13:04.084000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:French Grand Prix:Race,2019,French Grand Prix,Race,20,minimum laptimes.lSD lap-start UTC observed for race,2019-06-23T13:13:25.245000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Austrian Grand Prix:Race,2019,Austrian Grand Prix,Race,21,minimum laptimes.lSD lap-start UTC observed for race,2019-06-30T13:12:52.435000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:British Grand Prix:Race,2019,British Grand Prix,Race,22,minimum laptimes.lSD lap-start UTC observed for race,2019-07-14T13:13:08.911000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:German Grand Prix:Race,2019,German Grand Prix,Race,23,minimum laptimes.lSD lap-start UTC observed for race,2019-07-28T13:19:58.860000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Hungarian Grand Prix:Race,2019,Hungarian Grand Prix,Race,24,minimum laptimes.lSD lap-start UTC observed for race,2019-08-04T13:12:49.128000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Belgian Grand Prix:Race,2019,Belgian Grand Prix,Race,25,minimum laptimes.lSD lap-start UTC observed for race,2019-09-01T13:13:26.907000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Italian Grand Prix:Race,2019,Italian Grand Prix,Race,26,minimum laptimes.lSD lap-start UTC observed for race,2019-09-08T13:13:21.425000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Brazilian Grand Prix:Race,2019,Brazilian Grand Prix,Race,27,minimum laptimes.lSD lap-start UTC observed for race,2019-11-17T17:13:00.100000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2019:Abu Dhabi Grand Prix:Race,2019,Abu Dhabi Grand Prix,Race,28,minimum laptimes.lSD lap-start UTC observed for race,2019-12-01T13:13:31.397000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2020:Hungarian Grand Prix:Race,2020,Hungarian Grand Prix,Race,30,minimum laptimes.lSD lap-start UTC observed for race,2020-07-19T13:12:57.686000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2020:70th Anniversary Grand Prix:Race,2020,70th Anniversary Grand Prix,Race,32,minimum laptimes.lSD lap-start UTC observed for race,2020-08-09T13:13:17.118000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2020:Spanish Grand Prix:Race,2020,Spanish Grand Prix,Race,33,minimum laptimes.lSD lap-start UTC observed for race,2020-08-16T13:13:19.298000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2020:Italian Grand Prix:Race,2020,Italian Grand Prix,Race,35,minimum laptimes.lSD lap-start UTC observed for race,2020-09-06T13:13:28.275000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2020:Russian Grand Prix:Race,2020,Russian Grand Prix,Race,36,minimum laptimes.lSD lap-start UTC observed for race,2020-09-27T11:13:33.505000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2020:Eifel Grand Prix:Race,2020,Eifel Grand Prix,Race,37,minimum laptimes.lSD lap-start UTC observed for race,2020-10-11T12:13:21.762000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2020:Portuguese Grand Prix:Race,2020,Portuguese Grand Prix,Race,38,minimum laptimes.lSD lap-start UTC observed for race,2020-10-25T13:13:10.885000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2020:Emilia Romagna Grand Prix:Race,2020,Emilia Romagna Grand Prix,Race,39,minimum laptimes.lSD lap-start UTC observed for race,2020-11-01T12:13:12.701000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2020:Bahrain Grand Prix:Race,2020,Bahrain Grand Prix,Race,40,minimum laptimes.lSD lap-start UTC observed for race,2020-11-29T14:13:36.973000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2020:Sakhir Grand Prix:Race,2020,Sakhir Grand Prix,Race,41,minimum laptimes.lSD lap-start UTC observed for race,2020-12-06T17:12:43.657000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
